sym_ind  aligned  renorm=False mask=causal beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.67 | F -102.60->-875917.23 norm=204.67
sym_ind  aligned  renorm=False mask=causal beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.75 | F -51.34->-878687.49 norm=205.77
sym_ind  aligned  renorm=False mask=causal beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.75 | F -25.75->-873256.63 norm=204.45
asym     identity renorm=True  mask=None   beta= 0.5 | F nonincr steps=0.824 seeds mono=0.42 | H seeds mono=0.00 | F -532.35->-532.01 norm=1.00
asym     identity renorm=True  mask=None   beta= 1.0 | F nonincr steps=0.817 seeds mono=0.33 | H seeds mono=0.00 | F -266.19->-265.89 norm=1.00
asym     identity renorm=True  mask=None   beta= 2.0 | F nonincr steps=0.811 seeds mono=0.33 | H seeds mono=0.00 | F -133.14->-132.91 norm=1.00
asym     identity renorm=True  mask=None   beta= 4.0 | F nonincr steps=0.823 seeds mono=0.33 | H seeds mono=0.00 | F -66.66->-66.58 norm=1.00
asym     identity renorm=True  mask=None   beta= 8.0 | F nonincr steps=0.846 seeds mono=0.33 | H seeds mono=0.00 | F -33.50->-33.72 norm=1.00
asym     identity renorm=True  mask=causal beta= 0.5 | F nonincr steps=0.389 seeds mono=0.00 | H seeds mono=0.00 | F -410.37->-410.27 norm=1.00
asym     identity renorm=True  mask=causal beta= 1.0 | F nonincr steps=0.389 seeds mono=0.00 | H seeds mono=0.00 | F -205.21->-205.11 norm=1.00
asym     identity renorm=True  mask=causal beta= 2.0 | F nonincr steps=0.390 seeds mono=0.00 | H seeds mono=0.00 | F -102.66->-102.52 norm=1.00
asym     identity renorm=True  mask=causal beta= 4.0 | F nonincr steps=0.393 seeds mono=0.00 | H seeds mono=0.00 | F -51.42->-51.23 norm=1.00
asym     identity renorm=True  mask=causal beta= 8.0 | F nonincr steps=0.398 seeds mono=0.00 | H seeds mono=0.00 | F -25.89->-25.58 norm=1.00
asym     identity renorm=False mask=None   beta= 0.5 | F nonincr steps=0.496 seeds mono=0.42 | H seeds mono=0.92 | F -532.35->23901042806312012873728.00 norm=303950062613.57
asym     identity renorm=False mask=None   beta= 1.0 | F nonincr steps=0.499 seeds mono=0.42 | H seeds mono=1.00 | F -266.19->7424936937935096250368.00 norm=303886093097.52
asym     identity renorm=False mask=None   beta= 2.0 | F nonincr steps=0.566 seeds mono=0.50 | H seeds mono=1.00 | F -133.14->-22378805656580549246976.00 norm=304216331677.41
asym     identity renorm=False mask=None   beta= 4.0 | F nonincr steps=0.648 seeds mono=0.50 | H seeds mono=0.83 | F -66.66->-78322386837350920486912.00 norm=306296792023.47
asym     identity renorm=False mask=None   beta= 8.0 | F nonincr steps=0.884 seeds mono=0.42 | H seeds mono=0.50 | F -33.50->-207501041491892271841280.00 norm=317189992482.71
asym     identity renorm=False mask=causal beta= 0.5 | F nonincr steps=0.659 seeds mono=0.42 | H seeds mono=0.83 | F -410.37->-4149753783220110373158912.00 norm=2088315371340.37
asym     identity renorm=False mask=causal beta= 1.0 | F nonincr steps=0.665 seeds mono=0.50 | H seeds mono=1.00 | F -205.21->-4246913657243503459041280.00 norm=2003808146066.22
